Rank,Club,num_of_matches,W,D,L,Scored_Goals,Recieved_Goals,difference,Pts,Season
First,Ahly SC,20,13,3,4,48,21,27.00,29,1948
Runner-up,Tersana,20,10,5,5,30,22,8.00,25,1948
First,Ahly SC,18,9,5,4,27,11,16.00,23,1949
Runner-up,Tersana,18,10,3,5,30,22,8.00,23,1949
First,Ahly SC,18,10,5,3,31,12,19.00,25,1950
Runner-up,Farouq(Zamalek_now),18,11,3,4,27,17,10.00,25,1950
First,Ahly SC,18,12,4,2,37,23,14.00,28,1952
Runner-up,Zamalek,18,10,6,2,33,19,14.00,26,1952
First,Ahly SC,18,11,4,3,44,27,17.00,26,1953
Runner-up,Zamalek,18,9,6,3,34,22,12.00,24,1953
First,Ahly SC,20,12,4,4,43,20,23.00,28,1955
Runner-up,Zamalek,20,10,7,3,31,15,16.00,27,1955
First,Ahly SC,26,18,4,4,55,21,34.00,40,1956
Runner-up,Zamalek,26,13,5,8,51,36,15.00,31,1956
First,Ahly SC,16,12,1,3,49,18,31.00,25,1957(Two_Groups)
Runner-up,Zamalek,16,12,2,2,33,13,20.00,26,1957(Two_Groups)
First,Ahly SC,18,14,3,1,55,13,42.00,31,1958
Runner-up,Zamalek,18,9,5,4,33,22,11.00,23,1958
First,Zamalek,18,12,4,2,38,14,24.00,28,1959
Runner-up,Ahly SC,18,11,5,2,39,20,19.00,27,1959
First,Ahly SC,18,12,4,2,34,14,20.00,28,1960
Runner-up,Zamalek,18,10,3,5,46,24,22.00,23,1960
First,Ahly SC,18,13,3,2,37,16,21.00,29,1961
Runner-up,Zamalek,18,12,2,4,35,15,20.00,26,1961
First,Tersana,27,19,3,5,66,41,25.00,41,1962(Two_Groups)
Runner-up,Zamalek,27,18,4,5,63,28,35.00,40,1962(Two_Groups)
First,Zamalek,24,16,7,1,49,21,28.00,39,1963(Two_Groups)
Runner-up,Tersana,24,16,3,5,71,34,37.00,35,1963(Two_Groups)
First,Zamalek,22,15,5,2,41,15,26.00,35,1964
Runner-up,Ismaily,22,13,2,7,35,28,7.00,28,1964
First,Olympic,21,13,4,4,40,21,19.00,30,1965
Runner-up,Zamalek,21,10,6,5,37,19,18.00,26,1965
First,Ismaily,22,15,6,1,34,17,17,36,1966
Runner-up,Ahly SC,22,14,4,4,30,14,16,32,1966
First,Zamalek,7,4,3,0,16,6,10,11,1971(Not_Completed)
Runner-up,Ittihad Alex,8,5,1,2,10,7,3,11,1971(Not_Completed)
First,El Mahalla,22,13,7,2,29,10,19,33,1972
Runner-up,Zamalek,22,11,10,1,25,10,15,32,1972
First,Ahly SC,5,4,0,1,9,1,8,8,1973(Not_Completed)
Runner-up,El Mahalla,5,3,1,1,5,2,3,7,1973(Not_Completed)
First,Ahly SC,34,26,7,1,70,11,59,59,1974
Runner-up,Tersana,34,22,8,4,63,19,44,52,1974
First,Ahly SC,21,17,4,0,49,2,47,38,1975(Two_Groups)
Runner-up,El Mahalla,22,14,8,0,37,9,28,36,1975(Two_Groups)
First,Ahly SC,28,23,4,1,48,10,38,50,1976
Runner-up,Zamalek,28,18,9,1,56,13,43,45,1976
First,Ahly SC,26,17,7,2,41,8,33,41,1977
Runner-up,Zamalek,26,17,6,3,40,7,33,40,1977
First,Ahly SC,22,14,8,0,36,7,29,36,1978
Runner-up,Zamalek,22,10,9,3,33,16,17,29,1978
First,Ahly SC,30,23,4,3,51,16,35,50,1979
Runner-up,Zamalek,30,19,8,3,44,12,32,46,1979
First,Ahly SC,26,18,5,3,47,15,32,41,1980
Runner-up,Zamalek,26,14,12,0,34,15,19,40,1980
First,Ahly SC,26,15,10,1,36,11,25,40,1981
Runner-up,Zamalek,26,14,9,3,37,10,27,37,1981
First,El Mokawloon,21,14,6,1,33,7,26,34,1982
Runner-up,Zamalek,21,13,7,1,26,5,21,33,1982
First,Zamalek,22,15,6,1,26,8,18,36,1983
Runner-up,Ahly SC,22,14,6,2,30,9,21,34,1983
First,Ahly SC,22,16,3,3,29,8,21,35,1984
Runner-up,Zamalek,22,11,10,1,29,12,17,32,1984
First,Ahly SC,22,13,9,0,30,11,19,35,1985
Runner-up,Zamalek,22,12,5,5,33,19,14,29,1985
First,Ahly SC,22,15,5,2,30,8,22,50,1986
Runner-up,Zamalek,22,14,4,4,30,13,17,46,1986
First,Zamalek,22,16,5,1,43,8,35,53,1987
Runner-up,Ahly SC,22,17,2,3,37,10,27,53,1987
First,Ahly SC,22,17,3,2,35,9,26,54,1988
Runner-up,Zamalek,22,15,4,3,42,18,24,49,1988
First,Ahly SC,12,11,1,0,19,3,16,34,1989
Runner-up,Zamalek,12,9,3,0,19,2,17,30,1989
First,Ahly SC,34,21,9,4,54,17,37,51,1990
Runner-up,Ismaily,34,19,13,2,45,8,37,51,1990
First,Zamalek,26,14,11,1,34,6,28,39,1991
Runner-up,Ismaily,26,13,11,2,27,12,15,37,1991
First,Zamalek,26,20,5,1,51,11,40,65,1992
Runner-up,Ahly SC,26,16,7,3,38,12,26,55,1992
First,Ismaily,26,16,7,3,49,16,33,39,1993
Runner-up,Ahly SC,26,15,9,2,39,15,24,39,1993
First,Ahly SC,26,17,7,2,38,13,25,58,1994
Runner-up,Zamalek,26,13,11,2,29,11,18,50,1994
First,Ahly SC,30,21,7,2,56,14,42,70,1995
Runner-up,Zamalek,30,19,9,2,58,21,37,66,1995
First,Ahly SC,30,20,9,1,59,20,39,69,1996
Runner-up,Zamalek,30,18,6,6,49,30,19,60,1996
First,Ahly SC,30,20,8,2,48,17,31,68,1997
Runner-up,Zamalek,30,17,11,2,50,21,29,62,1997
First,Ahly SC,26,21,5,0,46,8,38,68,1998
Runner-up,Zamalek,26,16,5,5,39,17,22,53,1998
First,Ahly SC,26,18,6,2,41,14,27,60,1999
Runner-up,Ismaily,26,17,3,6,53,22,31,54,1999
First,Zamalek,26,20,5,1,54,18,36,65,2000
Runner-up,Ahly SC,26,17,6,3,42,17,25,57,2000
First,Ismaily,26,20,6,0,52,14,38,66,2001
Runner-up,Ahly SC,26,20,4,2,50,17,33,64,2001
First,Zamalek,26,21,4,1,57,10,47,67,2002
Runner-up,Ahly SC,26,21,3,2,53,13,40,66,2002
First,Zamalek,26,21,5,0,59,16,43,68,2003
Runner-up,Ahly SC,26,19,2,5,56,20,36,59,2003
First,Ahly SC,26,24,2,0,59,13,46,74,2004
Runner-up,Enppi SC,26,11,10,5,43,26,17,43,2004
First,Ahly SC,26,23,3,0,57,6,51,72,2005
Runner-up,Zamalek,26,18,4,4,48,22,26,58,2005
First,Ahly SC,30,23,4,3,64,17,47,73,2006
Runner-up,Zamalek,30,21,5,4,58,23,35,68,2006
First,Ahly SC,30,21,7,2,47,22,25,70,2007
Runner-up,Ismaily,30,14,12,4,47,25,22,54,2007
First,Ahly SC,30,18,9,3,52,25,27,63,2008
Runner-up,Ismaily,30,20,3,7,52,31,21,63,2008
First,Ahly SC,30,18,11,1,47,23,24,65,2009
Runner-up,Zamalek,30,16,7,7,43,26,17,55,2009
First,Ahly SC,30,16,13,1,47,27,20,61,2010
Runner-up,Zamalek,30,15,11,4,49,32,17,56,2010
First,Harras Hodoud,14,12,1,1,25,9,16,37,2011(Not_Completed)
Runner-up,Ahly SC,15,11,3,1,28,12,16,36,2011(Not_Completed)
First,Ahly SC,15,13,0,2,27,10,17,39,2012(Not_Completed)
Runner-up,Enppi SC,15,8,5,2,24,15,9,29,2012(Not_Completed)
First,Ahly SC,20,12,4,4,30,10,20,40,2013
Runner-up,Smouha,20,10,5,5,24,20,4,35,2013
First,Zamalek,38,26,9,3,69,21,48,87,2014
Runner-up,Ahly SC,38,23,10,5,65,26,39,79,2014
First,Ahly SC,34,23,7,4,65,24,41,76,2015
Runner-up,Zamalek,34,20,9,5,49,25,24,69,2015
First,Ahly SC,34,25,9,0,62,14,48,84,2016
Runner-up,El Makasa,34,23,5,6,65,34,31,74,2016
First,Ahly SC,34,28,4,2,75,19,56,88,2017
Runner-up,Ismaily,34,19,11,4,50,27,23,68,2017
First,Ahly SC,34,25,5,4,56,20,36,80,2018
Runner-up,Zamalek,34,21,9,4,65,31,34,72,2018
First,Ahly SC,34,28,5,1,74,8,66,89,2019
Runner-up,Zamalek,34,21,8,5,50,27,23,68,2019
First,Zamalek,34,24,8,2,61,21,40,80,2020
Runner-up,Ahly SC,34,22,10,2,72,29,43,76,2020
First,Zamalek,34,24,5,5,62,29,33,77,2021
Runner-up,Pyramids FC,34,22,5,7,56,25,31,71,2021
First,Ahly SC,34,25,8,1,63,13,50,83,2022
Runner-up,Pyramids FC,34,22,7,5,58,24,34,73,2022
First,Ahly SC,34,27,4,3,75,28,47,85,2023
Runner-up,Pyramids FC,34,24,7,3,62,27,35,79,2023
